timestamp,open,high,low,close,volume
2023-08-24 14:55:00,144.0500,144.1500,143.9600,144.1000,48429
2023-08-24 14:50:00,143.9350,144.0700,143.9000,144.0600,29423
2023-08-24 14:45:00,143.8600,143.9700,143.8400,143.9200,20729
2023-08-24 14:40:00,143.7670,143.8800,143.7400,143.8500,38160
2023-08-24 14:35:00,143.8100,143.8500,143.7000,143.7900,24179
2023-08-24 14:30:00,143.9500,143.9750,143.8100,143.8200,25386
2023-08-24 14:25:00,143.8950,144.0000,143.8650,143.9300,27348
2023-08-24 14:20:00,143.7600,143.9300,143.7400,143.9150,29612
2023-08-24 14:15:00,143.8000,143.8400,143.7050,143.7500,20390
2023-08-24 14:10:00,143.8000,143.8800,143.7700,143.8000,21855
2023-08-24 14:05:00,143.8200,143.8370,143.7400,143.8000,12209
2023-08-24 14:00:00,143.8000,143.9100,143.8000,143.8400,23628
2023-08-24 13:55:00,143.6900,143.7900,143.6500,143.7800,47774
2023-08-24 13:50:00,143.6700,143.7100,143.6500,143.6900,13653
2023-08-24 13:45:00,143.7200,143.7700,143.6700,143.6700,9365
2023-08-24 13:40:00,143.8400,143.8650,143.7100,143.7110,20439
2023-08-24 13:35:00,143.6300,143.8200,143.6200,143.8150,25229
2023-08-24 13:30:00,143.6200,143.7350,143.6000,143.6200,26809
2023-08-24 13:25:00,143.6600,143.6800,143.6100,143.6250,29762
2023-08-24 13:20:00,143.6000,143.6900,143.5350,143.6750,28062
2023-08-24 13:15:00,143.6100,143.6200,143.5100,143.6000,20469
2023-08-24 13:10:00,143.6600,143.6600,143.5300,143.5900,16535
2023-08-24 13:05:00,143.5470,143.6700,143.4800,143.6600,19772
2023-08-24 13:00:00,143.9300,144.0500,143.5200,143.5500,40048
2023-08-24 12:55:00,143.8400,144.0600,143.8100,143.9300,51830
2023-08-24 12:50:00,143.7900,143.9300,143.7300,143.9100,46852
2023-08-24 12:45:00,143.5800,143.7900,143.4700,143.7600,37029
2023-08-24 12:40:00,143.6200,143.6900,143.5400,143.5640,12928
2023-08-24 12:35:00,143.5350,143.6300,143.5240,143.6300,10952
2023-08-24 12:30:00,143.4900,143.5600,143.4700,143.5400,12103
2023-08-24 12:25:00,143.6020,143.6550,143.5000,143.5290,9053
2023-08-24 12:20:00,143.6350,143.6700,143.5700,143.5900,13260
2023-08-24 12:15:00,143.7450,143.7700,143.6300,143.6300,10558
2023-08-24 12:10:00,143.6900,143.7600,143.6800,143.7300,10093
2023-08-24 12:05:00,143.5300,143.7650,143.5300,143.7000,17629
2023-08-24 12:00:00,143.5100,143.5500,143.4750,143.5300,16530
2023-08-24 11:55:00,143.4900,143.5750,143.4400,143.5100,22746
2023-08-24 11:50:00,143.5700,143.5900,143.4670,143.5000,22697
2023-08-24 11:45:00,143.4900,143.5870,143.4600,143.5600,18392
2023-08-24 11:40:00,143.6100,143.6500,143.4900,143.5300,29580
2023-08-24 11:35:00,143.4500,143.6000,143.4300,143.5700,18523
2023-08-24 11:30:00,143.6300,143.6500,143.4700,143.4700,19230
2023-08-24 11:25:00,143.5800,143.6400,143.5150,143.6400,14227
2023-08-24 11:20:00,143.4300,143.6700,143.4300,143.5900,18260
2023-08-24 11:15:00,143.5450,143.6400,143.4100,143.4100,29273
2023-08-24 11:10:00,143.5100,143.6100,143.4700,143.5600,44316
2023-08-24 11:05:00,143.3450,143.5300,143.3450,143.5130,26793
2023-08-24 11:00:00,143.3900,143.3900,143.2200,143.3400,34186
2023-08-24 10:55:00,143.4550,143.5300,143.3600,143.4100,13714
2023-08-24 10:50:00,143.3450,143.4620,143.3200,143.4550,14614
2023-08-24 10:45:00,143.3650,143.3900,143.2200,143.3300,18903
2023-08-24 10:40:00,143.5200,143.5400,143.2900,143.3800,27146
2023-08-24 10:35:00,143.6400,143.6400,143.4600,143.5000,20436
2023-08-24 10:30:00,143.7200,143.7380,143.5200,143.6400,20255
